,full_text,startYear,averageRating,numVotes,writers,directors,actors
4129, Comedy Drama Romance Bill Kenwright Films UK Film Council France 3 Cinéma Pathé,2009,6.1,12046, ChristopherHampton Colette, StephenFrears, MichellePfeiffer RupertFriend KathyBates FrancesTomelty TomBurke HubertTellegen JoeSheridan TobyKebbell FelicityJones IbenHjejle
4130, Comedy Drama Searchlight Pictures Blueprint Pictures Film4 Productions Metropolitan Films International TSG Entertainment friendship island donkey dark comedy irish civil war (1922-23) church ireland drinking former best friend self mutilation fiddle 1920s brother sister relationship pub,2022,7.7,287876, MartinMcDonagh, MartinMcDonagh, ColinFarrell BrendanGleeson KerryCondon PatShortt GaryLydon JonKenny BarryKeoghan SheilaFlitton JohnCarty OliverFarrelly
4131, Adventure Animation Drama EuropaCorp Duran France 3 Cinéma Canal+ Ciné+ Fonds Film in Vlaanderen France Télévisions La Région Île-de-France Screen Flanders uFilm uFund uMedia Family Vlaams Agentschap Ondernemen Vlaanderen in Actie Walking The Dog musical sad story,2013,6.9,7993, MathiasMalzieu, StéphaneBerla MathiasMalzieu, MathiasMalzieu OliviaRuiz GrandCorpsMalade JeanRochefort RossydePalma Babet MarieVincent EmilyLoizeau ArthurH. Dani
4132, Action Adventure Animation Spin Master Nickelodeon Movies Paramount Mikros Image Elevation Pictures cartoon dog animals kids,2021,6.1,9328, BillyFrolick CalBrunker BobBarlen KeithChapman, CalBrunker, TylerPerry RonPardo RonPardo WillBrisbin KingsleyMarshall KeeganHedley IainArmitage CallumShoniker ShayleSimons LillyNoelleBartlam KimRoberts
4133, Biography Comedy Crime Kanzaman Productions Prescience Lipsync Productions Independent prison wales central intelligence agency (cia) smuggling (contraband) explosive biography drug use elite conspiracy terrorism university ira (irish republican army) alias mi6 drugs,2010,6.4,8186, BernardRose HowardMarks, BernardRose, RhysIfans ChloëSevigny DavidThewlis LuisTosar CrispinGlover OmidDjalili ChristianMcKay ElsaPataky JackHuston JamieHarris
4134, Comedy Drama 72nd Street Productions Candleridge Entertainment adultery virgin infidelity small town naivety prostitute sibling relationship love triangle cheating parent child relationship self-destruction orgasm marriage dark comedy insomnia dysfunctional family loss of virginity family relationships love unfaithfulness betrayal masturbation,2009,6.8,8292, LeeTolandKrieger, LeeTolandKrieger, AdamScott BrittanySnow AlexFrost J.K.Simmons VittorioBrahm BillBuell AlysiaReiner KateKrieger JordanReid AnneGill
4135, Adventure Biography Comedy Herrick Entertainment movie business saint louis road trip 1950s,2009,6.5,9846, CharliePeters, RichardLoncraine, RenéeZellweger LoganLerman MarkRendall KevinBacon TroyGarity DavidKoechner J.C.MacKenzie EricMcCormack ChrisNoth MollyC.Quinn
4136, Animation Biography Documentary Bridgit Folman Film Gang Les Films d'ici Razor Film Produktion ITVS International TSR ARTE YLE SBS RTBF israel palestinian-israeli conflict palestine middle east nightmare mass murder massacre adult animation sabra shatila lebanon beirut animated documentary,2008,8.0,62225, AriFolman, AriFolman, MikiLeon YehezkelLazarov
4137, Action Adventure Animation Paramount Nickelodeon Movies GK Films Blind Wink Industrial Light & Magic hero gunslinger sheriff nevada mayor pet native american water supply outlaw water shortage spirit mariachi disillusionment desert construction frontier town small western town animal life animal protagonist old west high noon,2011,7.3,312752, JohnLogan GoreVerbinski JamesWardByrkit, GoreVerbinski, JohnnyDepp JohnnyDepp IslaFisher TimothyOlyphant AbigailBreslin NedBeatty AlfredMolina BillNighy StephenRoot StephenRoot StephenRoot HarryDeanStanton RayWinstone
4138, Comedy Drama Romance Right of Way Films Paramount Cold Spring Pictures Rickshaw Productions The Montecito Picture Company DW Studios suitcase business omaha las vegas on the road downsizing cross country videoconferencing employment termination business trip airport lounge duringcreditsstinger airline motivational speaker public speaking laid off mature romance traveler fired from a job airport ending travel packing travel gift air travel frequent flyer,2009,7.4,358121, WalterKirn JasonReitman SheldonTurner, JasonReitman, GeorgeClooney VeraFarmiga AnnaKendrick JasonBateman AmyMorton MelanieLynskey J.K.Simmons SamElliott DannyMcBride ZachGalifianakis
